Layer_Index,Before_Pruning,After_Pruning,Total_Pareto
0,11,5,5
1,10,4,4
2,10,4,4
3,10,4,4
4,10,4,4
5,10,4,4
6,10,4,4
7,10,4,4
8,10,4,4
9,10,4,4
10,10,4,4
11,10,4,4
12,10,4,4
13,10,4,4
14,10,4,4
15,10,4,4
16,10,4,4
17,10,4,4
18,10,4,4
19,10,4,4
20,10,4,4
21,10,4,4
22,10,4,4
23,10,4,4
24,10,4,4
25,10,4,4
26,10,4,4
27,10,4,4
28,10,4,4
29,10,4,4
30,10,4,4
31,10,4,4
32,10,4,4
33,10,4,4
34,10,4,4
35,10,4,4
36,10,4,4
37,9,4,4
38,10,4,4
39,10,4,4
40,10,4,4
41,10,4,4
42,10,4,4
43,10,4,4
44,10,4,4
45,10,4,4
46,10,4,4
47,10,4,4
48,10,4,4
49,10,4,4
50,10,4,4
51,10,4,4
52,10,4,4
53,10,4,4
54,10,4,4
55,10,4,4
56,10,4,4
57,10,4,4
58,10,4,4
59,10,4,4
60,10,4,4
61,10,4,4
62,10,4,4
63,10,4,4
64,10,4,4
65,10,4,4
66,10,4,4
67,10,4,4
68,10,4,4
69,10,4,4
70,10,4,4
71,10,4,4
72,10,4,4
73,8,2,2
74,11,3,3
75,11,3,3
76,11,3,3
77,11,3,3
78,11,3,3
79,11,3,3
80,11,3,3
81,11,3,3
82,11,3,3
83,11,3,3
84,11,3,3
85,11,3,3
86,11,3,3
87,11,3,3
88,11,3,3
89,11,3,3
90,11,3,3
91,11,3,3
92,11,3,3
93,11,3,3
94,11,3,3
95,11,3,3
96,11,3,3
97,11,3,3
98,11,3,3
99,11,3,3
100,11,3,3
101,11,3,3
102,11,3,3
103,11,3,3
104,11,3,3
105,11,3,3
106,11,3,3
107,11,3,3
108,11,3,3
109,1,1,0
