Layer_Index,Before_Pruning,After_Pruning,Total_Pareto
0,11,5,5
1,9,4,4
2,9,4,4
3,9,4,4
4,9,4,4
5,9,4,4
6,9,4,4
7,9,4,4
8,9,4,4
9,9,4,4
10,9,4,4
11,9,4,4
12,9,4,4
13,9,4,4
14,9,4,4
15,9,4,4
16,9,4,4
17,9,4,4
18,9,4,4
19,9,4,4
20,9,4,4
21,9,4,4
22,9,4,4
23,9,4,4
24,9,4,4
25,9,4,4
26,9,4,4
27,9,4,4
28,9,4,4
29,9,4,4
30,9,4,4
31,9,4,4
32,9,4,4
33,9,4,4
34,9,4,4
35,9,4,4
36,9,4,4
37,9,4,4
38,11,5,5
39,11,5,5
40,11,5,5
41,11,5,5
42,11,5,5
43,11,5,5
44,11,5,5
45,11,5,5
46,11,5,5
47,11,5,5
48,11,5,5
49,11,5,5
50,11,5,5
51,11,5,5
52,11,5,5
53,11,5,5
54,11,5,5
55,11,5,5
56,11,5,5
57,11,5,5
58,11,5,5
59,11,5,5
60,11,5,5
61,11,5,5
62,11,5,5
63,11,5,5
64,11,5,5
65,11,5,5
66,11,5,5
67,11,5,5
68,11,5,5
69,11,5,5
70,11,5,5
71,11,5,5
72,11,5,5
73,11,5,5
74,8,3,3
75,8,3,3
76,8,3,3
77,8,3,3
78,8,3,3
79,8,3,3
80,8,3,3
81,8,3,3
82,8,3,3
83,8,3,3
84,8,3,3
85,8,3,3
86,8,3,3
87,8,3,3
88,8,3,3
89,8,3,3
90,8,3,3
91,8,3,3
92,8,3,3
93,8,3,3
94,8,3,3
95,8,3,3
96,8,3,3
97,8,3,3
98,8,3,3
99,8,3,3
100,8,3,3
101,8,3,3
102,8,3,3
103,8,3,3
104,8,3,3
105,8,3,3
106,8,3,3
107,8,3,3
108,8,3,3
109,1,1,0
