Layer_Index,Before_Pruning,After_Pruning,Total_Pareto
0,10,4,4
1,11,5,5
2,11,5,5
3,11,5,5
4,11,5,5
5,11,5,5
6,11,5,5
7,11,5,5
8,11,5,5
9,11,5,5
10,11,5,5
11,11,5,5
12,11,5,5
13,11,5,5
14,11,5,5
15,11,5,5
16,11,5,5
17,11,5,5
18,11,5,5
19,11,5,5
20,11,5,5
21,11,5,5
22,11,5,5
23,11,5,5
24,11,5,5
25,11,5,5
26,11,5,5
27,11,5,5
28,11,5,5
29,11,5,5
30,11,5,5
31,11,5,5
32,11,5,5
33,11,5,5
34,11,5,5
35,11,5,5
36,11,5,5
37,11,5,5
38,12,5,5
39,12,5,5
40,12,5,5
41,12,5,5
42,12,5,5
43,12,5,5
44,12,5,5
45,12,5,5
46,12,5,5
47,12,5,5
48,12,5,5
49,12,5,5
50,12,5,5
51,12,5,5
52,12,5,5
53,12,5,5
54,12,5,5
55,12,5,5
56,12,5,5
57,12,5,5
58,12,5,5
59,12,5,5
60,12,5,5
61,12,5,5
62,12,5,5
63,12,5,5
64,12,5,5
65,12,5,5
66,12,5,5
67,12,5,5
68,12,5,5
69,12,5,5
70,12,5,5
71,12,5,5
72,12,5,5
73,9,4,4
74,9,3,3
75,9,3,3
76,9,3,3
77,9,3,3
78,9,3,3
79,9,3,3
80,9,3,3
81,9,3,3
82,9,3,3
83,9,3,3
84,9,3,3
85,9,3,3
86,9,3,3
87,9,3,3
88,9,3,3
89,9,3,3
90,9,3,3
91,9,3,3
92,9,3,3
93,9,3,3
94,9,3,3
95,9,3,3
96,9,3,3
97,9,3,3
98,9,3,3
99,9,3,3
100,9,3,3
101,9,3,3
102,9,3,3
103,9,3,3
104,9,3,3
105,9,3,3
106,9,3,3
107,9,3,3
108,9,3,3
109,1,1,0
